id,preset_type,number,name,fixture_ids,channel_ids,patch_target_keys,fixture_details,references,source_file
preset:0.21:Studio54_preset_0.xml:1,0,0.21,350 nad lidi,41 42 43 44 45 46 47 48 49 50 51 52,,fixture:41 | fixture:42 | fixture:43 | fixture:44 | fixture:45 | fixture:46 | fixture:47 | fixture:48 | fixture:49 | fixture:50 | fixture:51 | fixture:52,41 | RLB350M1 1 | 12 Robin LEDBeam 350 Mode 1 | 13.001 || 42 | RLB350M1 2 | 12 Robin LEDBeam 350 Mode 1 | 13.023 || 43 | RLB350M1 3 | 12 Robin LEDBeam 350 Mode 1 | 13.045 || 44 | RLB350M1 4 | 12 Robin LEDBeam 350 Mode 1 | 13.067 || 45 | RLB350M1 5 | 12 Robin LEDBeam 350 Mode 1 | 13.089 || 46 | RLB350M1 6 | 12 Robin LEDBeam 350 Mode 1 | 13.111 || 47 | RLB350M1 7 | 12 Robin LEDBeam 350 Mode 1 | 5.001 || 48 | RLB350M1 8 | 12 Robin LEDBeam 350 Mode 1 | 5.023 || 49 | RLB350M1 9 | 12 Robin LEDBeam 350 Mode 1 | 5.045 || 50 | RLB350M1 10 | 12 Robin LEDBeam 350 Mode 1 | 5.067 || 51 | RLB350M1 11 | 12 Robin LEDBeam 350 Mode 1 | 5.089 || 52 | RLB350M1 12 | 12 Robin LEDBeam 350 Mode 1 | 5.111,,exports\Studio54_preset_0.xml
preset:0.22:Studio54_preset_0.xml:2,0,0.22,350 doprava,41 42 43 44 45 46 47 48 49 50 51 52,,fixture:41 | fixture:42 | fixture:43 | fixture:44 | fixture:45 | fixture:46 | fixture:47 | fixture:48 | fixture:49 | fixture:50 | fixture:51 | fixture:52,41 | RLB350M1 1 | 12 Robin LEDBeam 350 Mode 1 | 13.001 || 42 | RLB350M1 2 | 12 Robin LEDBeam 350 Mode 1 | 13.023 || 43 | RLB350M1 3 | 12 Robin LEDBeam 350 Mode 1 | 13.045 || 44 | RLB350M1 4 | 12 Robin LEDBeam 350 Mode 1 | 13.067 || 45 | RLB350M1 5 | 12 Robin LEDBeam 350 Mode 1 | 13.089 || 46 | RLB350M1 6 | 12 Robin LEDBeam 350 Mode 1 | 13.111 || 47 | RLB350M1 7 | 12 Robin LEDBeam 350 Mode 1 | 5.001 || 48 | RLB350M1 8 | 12 Robin LEDBeam 350 Mode 1 | 5.023 || 49 | RLB350M1 9 | 12 Robin LEDBeam 350 Mode 1 | 5.045 || 50 | RLB350M1 10 | 12 Robin LEDBeam 350 Mode 1 | 5.067 || 51 | RLB350M1 11 | 12 Robin LEDBeam 350 Mode 1 | 5.089 || 52 | RLB350M1 12 | 12 Robin LEDBeam 350 Mode 1 | 5.111,,exports\Studio54_preset_0.xml
preset:0.23:Studio54_preset_0.xml:3,0,0.23,350 doleva,41 42 43 44 45 46 47 48 49 50 51 52,,fixture:41 | fixture:42 | fixture:43 | fixture:44 | fixture:45 | fixture:46 | fixture:47 | fixture:48 | fixture:49 | fixture:50 | fixture:51 | fixture:52,41 | RLB350M1 1 | 12 Robin LEDBeam 350 Mode 1 | 13.001 || 42 | RLB350M1 2 | 12 Robin LEDBeam 350 Mode 1 | 13.023 || 43 | RLB350M1 3 | 12 Robin LEDBeam 350 Mode 1 | 13.045 || 44 | RLB350M1 4 | 12 Robin LEDBeam 350 Mode 1 | 13.067 || 45 | RLB350M1 5 | 12 Robin LEDBeam 350 Mode 1 | 13.089 || 46 | RLB350M1 6 | 12 Robin LEDBeam 350 Mode 1 | 13.111 || 47 | RLB350M1 7 | 12 Robin LEDBeam 350 Mode 1 | 5.001 || 48 | RLB350M1 8 | 12 Robin LEDBeam 350 Mode 1 | 5.023 || 49 | RLB350M1 9 | 12 Robin LEDBeam 350 Mode 1 | 5.045 || 50 | RLB350M1 10 | 12 Robin LEDBeam 350 Mode 1 | 5.067 || 51 | RLB350M1 11 | 12 Robin LEDBeam 350 Mode 1 | 5.089 || 52 | RLB350M1 12 | 12 Robin LEDBeam 350 Mode 1 | 5.111,,exports\Studio54_preset_0.xml
preset:0.25:Studio54_preset_0.xml:4,0,0.25,beam,11 12 13 14 15 16 17 18,,fixture:11 | fixture:12 | fixture:13 | fixture:14 | fixture:15 | fixture:16 | fixture:17 | fixture:18,11 | Fixture 11 || 12 | Fixture 12 || 13 | Fixture 13 || 14 | Fixture 14 || 15 | Fixture 15 || 16 | Fixture 16 || 17 | Fixture 17 || 18 | Fixture 18,,exports\Studio54_preset_0.xml
preset:0.26:Studio54_preset_0.xml:5,0,0.26,strobo hor,111 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 26 27 28 29 30 31 32 112,,fixture:111 | subfixture:111:3 | subfixture:111:4 | subfixture:111:5 | subfixture:111:6 | subfixture:111:7 | subfixture:111:8 | subfixture:111:9 | subfixture:111:10 | subfixture:111:11 | subfixture:111:12 | subfixture:111:13 | subfixture:111:14 | subfixture:111:15 | subfixture:111:16 | subfixture:111:17 | subfixture:111:18 | subfixture:111:20 | subfixture:111:21 | subfixture:111:22 | subfixture:111:23 | subfixture:111:24 | subfixture:111:25 | subfixture:111:26 | subfixture:111:27 | subfixture:111:28 | subfixture:111:29 | subfixture:111:30 | subfixture:111:31 | subfixture:111:32 | fixture:112 | subfixture:112:3 | subfixture:112:4 | subfixture:112:5 | subfixture:112:6 | subfixture:112:7 | subfixture:112:8 | subfixture:112:9 | subfixture:112:10 | subfixture:112:11 | subfixture:112:12 | subfixture:112:13 | subfixture:112:14 | subfixture:112:15 | subfixture:112:16 | subfixture:112:17 | subfixture:112:18 | subfixture:112:20 | subfixture:112:21 | subfixture:112:22 | subfixture:112:23 | subfixture:112:24 | subfixture:112:25 | subfixture:112:26 | subfixture:112:27 | subfixture:112:28 | subfixture:112:29 | subfixture:112:30 | subfixture:112:31 | subfixture:112:32,111 | Fixture 111 || 3 | Fixture 3 || 4 | Fixture 4 || 5 | Fixture 5 || 6 | Fixture 6 || 7 | Fixture 7 || 8 | Fixture 8 || 9 | Fixture 9 || 10 | Fixture 10 || 11 | Fixture 11 || 12 | Fixture 12 || 13 | Fixture 13 || 14 | Fixture 14 || 15 | Fixture 15 || 16 | Fixture 16 || 17 | Fixture 17 || 18 | Fixture 18 || 20 | Fixture 20 || 21 | Fixture 21 || 22 | Fixture 22 || 23 | Fixture 23 || 24 | Fixture 24 || 25 | Fixture 25 || 26 | Fixture 26 || 27 | Fixture 27 || 28 | Fixture 28 || 29 | Fixture 29 || 30 | Fixture 30 || 31 | Fixture 31 || 32 | Fixture 32 || 112 | Fixture 112,,exports\Studio54_preset_0.xml
preset:0.27:Studio54_preset_0.xml:6,0,0.27,strobo,111 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 112,,fixture:111 | subfixture:111:2 | subfixture:111:3 | subfixture:111:4 | subfixture:111:5 | subfixture:111:6 | subfixture:111:7 | subfixture:111:8 | subfixture:111:9 | subfixture:111:10 | subfixture:111:11 | subfixture:111:12 | subfixture:111:13 | subfixture:111:14 | subfixture:111:15 | subfixture:111:16 | subfixture:111:17 | subfixture:111:18 | subfixture:111:19 | subfixture:111:20 | subfixture:111:21 | subfixture:111:22 | subfixture:111:23 | subfixture:111:24 | subfixture:111:25 | subfixture:111:26 | subfixture:111:27 | subfixture:111:28 | subfixture:111:29 | subfixture:111:30 | subfixture:111:31 | subfixture:111:32 | fixture:112 | subfixture:112:2 | subfixture:112:3 | subfixture:112:4 | subfixture:112:5 | subfixture:112:6 | subfixture:112:7 | subfixture:112:8 | subfixture:112:9 | subfixture:112:10 | subfixture:112:11 | subfixture:112:12 | subfixture:112:13 | subfixture:112:14 | subfixture:112:15 | subfixture:112:16 | subfixture:112:17 | subfixture:112:18 | subfixture:112:19 | subfixture:112:20 | subfixture:112:21 | subfixture:112:22 | subfixture:112:23 | subfixture:112:24 | subfixture:112:25 | subfixture:112:26 | subfixture:112:27 | subfixture:112:28 | subfixture:112:29 | subfixture:112:30 | subfixture:112:31 | subfixture:112:32,111 | Fixture 111 || 2 | Fixture 2 || 3 | Fixture 3 || 4 | Fixture 4 || 5 | Fixture 5 || 6 | Fixture 6 || 7 | Fixture 7 || 8 | Fixture 8 || 9 | Fixture 9 || 10 | Fixture 10 || 11 | Fixture 11 || 12 | Fixture 12 || 13 | Fixture 13 || 14 | Fixture 14 || 15 | Fixture 15 || 16 | Fixture 16 || 17 | Fixture 17 || 18 | Fixture 18 || 19 | Fixture 19 || 20 | Fixture 20 || 21 | Fixture 21 || 22 | Fixture 22 || 23 | Fixture 23 || 24 | Fixture 24 || 25 | Fixture 25 || 26 | Fixture 26 || 27 | Fixture 27 || 28 | Fixture 28 || 29 | Fixture 29 || 30 | Fixture 30 || 31 | Fixture 31 || 32 | Fixture 32 || 112 | Fixture 112,,exports\Studio54_preset_0.xml
preset:0.28:Studio54_preset_0.xml:7,0,0.28,strobo,111 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 112,,fixture:111 | subfixture:111:2 | subfixture:111:3 | subfixture:111:4 | subfixture:111:5 | subfixture:111:6 | subfixture:111:7 | subfixture:111:8 | subfixture:111:9 | subfixture:111:10 | subfixture:111:11 | subfixture:111:12 | subfixture:111:13 | subfixture:111:14 | subfixture:111:15 | subfixture:111:16 | subfixture:111:17 | subfixture:111:18 | subfixture:111:19 | subfixture:111:20 | subfixture:111:21 | subfixture:111:22 | subfixture:111:23 | subfixture:111:24 | subfixture:111:25 | subfixture:111:26 | subfixture:111:27 | subfixture:111:28 | subfixture:111:29 | subfixture:111:30 | subfixture:111:31 | subfixture:111:32 | fixture:112 | subfixture:112:2 | subfixture:112:3 | subfixture:112:4 | subfixture:112:5 | subfixture:112:6 | subfixture:112:7 | subfixture:112:8 | subfixture:112:9 | subfixture:112:10 | subfixture:112:11 | subfixture:112:12 | subfixture:112:13 | subfixture:112:14 | subfixture:112:15 | subfixture:112:16 | subfixture:112:17 | subfixture:112:18 | subfixture:112:19 | subfixture:112:20 | subfixture:112:21 | subfixture:112:22 | subfixture:112:23 | subfixture:112:24 | subfixture:112:25 | subfixture:112:26 | subfixture:112:27 | subfixture:112:28 | subfixture:112:29 | subfixture:112:30 | subfixture:112:31 | subfixture:112:32,111 | Fixture 111 || 2 | Fixture 2 || 3 | Fixture 3 || 4 | Fixture 4 || 5 | Fixture 5 || 6 | Fixture 6 || 7 | Fixture 7 || 8 | Fixture 8 || 9 | Fixture 9 || 10 | Fixture 10 || 11 | Fixture 11 || 12 | Fixture 12 || 13 | Fixture 13 || 14 | Fixture 14 || 15 | Fixture 15 || 16 | Fixture 16 || 17 | Fixture 17 || 18 | Fixture 18 || 19 | Fixture 19 || 20 | Fixture 20 || 21 | Fixture 21 || 22 | Fixture 22 || 23 | Fixture 23 || 24 | Fixture 24 || 25 | Fixture 25 || 26 | Fixture 26 || 27 | Fixture 27 || 28 | Fixture 28 || 29 | Fixture 29 || 30 | Fixture 30 || 31 | Fixture 31 || 32 | Fixture 32 || 112 | Fixture 112,,exports\Studio54_preset_0.xml
preset:0.29:Studio54_preset_0.xml:8,0,0.29,Preset 0.29,112 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18,,fixture:112 | subfixture:112:3 | subfixture:112:4 | subfixture:112:5 | subfixture:112:6 | subfixture:112:7 | subfixture:112:8 | subfixture:112:9 | subfixture:112:10 | subfixture:112:11 | subfixture:112:12 | subfixture:112:13 | subfixture:112:14 | subfixture:112:15 | subfixture:112:16 | subfixture:112:17 | subfixture:112:18,112 | Fixture 112 || 3 | Fixture 3 || 4 | Fixture 4 || 5 | Fixture 5 || 6 | Fixture 6 || 7 | Fixture 7 || 8 | Fixture 8 || 9 | Fixture 9 || 10 | Fixture 10 || 11 | Fixture 11 || 12 | Fixture 12 || 13 | Fixture 13 || 14 | Fixture 14 || 15 | Fixture 15 || 16 | Fixture 16 || 17 | Fixture 17 || 18 | Fixture 18,,exports\Studio54_preset_0.xml
preset:0.30:Studio54_preset_0.xml:9,0,0.30,gula,41 42 43 44 45 46 47 48 49 50 51 52,,fixture:41 | fixture:42 | fixture:43 | fixture:44 | fixture:45 | fixture:46 | fixture:47 | fixture:48 | fixture:49 | fixture:50 | fixture:51 | fixture:52,41 | RLB350M1 1 | 12 Robin LEDBeam 350 Mode 1 | 13.001 || 42 | RLB350M1 2 | 12 Robin LEDBeam 350 Mode 1 | 13.023 || 43 | RLB350M1 3 | 12 Robin LEDBeam 350 Mode 1 | 13.045 || 44 | RLB350M1 4 | 12 Robin LEDBeam 350 Mode 1 | 13.067 || 45 | RLB350M1 5 | 12 Robin LEDBeam 350 Mode 1 | 13.089 || 46 | RLB350M1 6 | 12 Robin LEDBeam 350 Mode 1 | 13.111 || 47 | RLB350M1 7 | 12 Robin LEDBeam 350 Mode 1 | 5.001 || 48 | RLB350M1 8 | 12 Robin LEDBeam 350 Mode 1 | 5.023 || 49 | RLB350M1 9 | 12 Robin LEDBeam 350 Mode 1 | 5.045 || 50 | RLB350M1 10 | 12 Robin LEDBeam 350 Mode 1 | 5.067 || 51 | RLB350M1 11 | 12 Robin LEDBeam 350 Mode 1 | 5.089 || 52 | RLB350M1 12 | 12 Robin LEDBeam 350 Mode 1 | 5.111,,exports\Studio54_preset_0.xml
preset:0.31:Studio54_preset_0.xml:10,0,0.31,vostra gula,11 12 17 18,,fixture:11 | fixture:12 | fixture:17 | fixture:18,11 | Fixture 11 || 12 | Fixture 12 || 17 | Fixture 17 || 18 | Fixture 18,,exports\Studio54_preset_0.xml
