fixture_id,name,label,fixture_type,mode,patch,universe,address,source_file,metadata
1,RSpiide3 1,,,,,,,exports\patch666_patch.xml,"{""index"": ""0"", ""name"": ""RSpiide3 1"", ""fixtureid"": ""1"", ""fixturetype.name"": ""6 SPIIDER 33CH Mode 3"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
2,RSpiide3 2,,,,,,,exports\patch666_patch.xml,"{""index"": ""1"", ""name"": ""RSpiide3 2"", ""fixtureid"": ""2"", ""fixturetype.name"": ""6 SPIIDER 33CH Mode 3"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
3,RSpiide3 3,,,,,,,exports\patch666_patch.xml,"{""index"": ""2"", ""name"": ""RSpiide3 3"", ""fixtureid"": ""3"", ""fixturetype.name"": ""6 SPIIDER 33CH Mode 3"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
4,RSpiide3 4,,,,,,,exports\patch666_patch.xml,"{""index"": ""3"", ""name"": ""RSpiide3 4"", ""fixtureid"": ""4"", ""fixturetype.name"": ""6 SPIIDER 33CH Mode 3"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
5,RSpiide3 5,,,,,,,exports\patch666_patch.xml,"{""index"": ""4"", ""name"": ""RSpiide3 5"", ""fixtureid"": ""5"", ""fixturetype.name"": ""6 SPIIDER 33CH Mode 3"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
6,RSpiide3 6,,,,,,,exports\patch666_patch.xml,"{""index"": ""5"", ""name"": ""RSpiide3 6"", ""fixtureid"": ""6"", ""fixturetype.name"": ""6 SPIIDER 33CH Mode 3"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
7,RSpiide3 7,,,,,,,exports\patch666_patch.xml,"{""index"": ""6"", ""name"": ""RSpiide3 7"", ""fixtureid"": ""7"", ""fixturetype.name"": ""6 SPIIDER 33CH Mode 3"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
8,RSpiide3 8,,,,,,,exports\patch666_patch.xml,"{""index"": ""7"", ""name"": ""RSpiide3 8"", ""fixtureid"": ""8"", ""fixturetype.name"": ""6 SPIIDER 33CH Mode 3"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
21,Sp30012 1,,,,,,,exports\patch666_patch.xml,"{""index"": ""9"", ""name"": ""Sp30012 1"", ""fixtureid"": ""21"", ""fixturetype.name"": ""9 Robin 300 LEDWash Mode 2"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
22,Sp30012 2,,,,,,,exports\patch666_patch.xml,"{""index"": ""10"", ""name"": ""Sp30012 2"", ""fixtureid"": ""22"", ""fixturetype.name"": ""9 Robin 300 LEDWash Mode 2"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
23,Sp30012 3,,,,,,,exports\patch666_patch.xml,"{""index"": ""11"", ""name"": ""Sp30012 3"", ""fixtureid"": ""23"", ""fixturetype.name"": ""9 Robin 300 LEDWash Mode 2"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
24,Sp30012 4,,,,,,,exports\patch666_patch.xml,"{""index"": ""12"", ""name"": ""Sp30012 4"", ""fixtureid"": ""24"", ""fixturetype.name"": ""9 Robin 300 LEDWash Mode 2"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
25,Sp30012 5,,,,,,,exports\patch666_patch.xml,"{""index"": ""15"", ""name"": ""Sp30012 5"", ""fixtureid"": ""25"", ""fixturetype.name"": ""4 Sixpar 300 12 Channel"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
