fixture_id,channel_id,subfixture_id,ma_fixture_id,ma_channel_id,patch_target_type,patch_target_id,patch_target_key,source_object_type,source_object_id,name,label,display_name,fixture_type,mode,patch,universe,address,raw_address,footprint,react_to_grandmaster,color,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,scale_x,scale_y,scale_z,source_files,flags
1,1,,,1,channel,1,channel:1,channel,1,Par 1,Par 1,Par 1,4 Dimmer 00,4,1.048,1,48,48,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
2,2,,,2,channel,2,channel:2,channel,2,Par 2,Par 2,Par 2,4 Dimmer 00,4,1.059,1,59,59,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
3,3,,,3,channel,3,channel:3,channel,3,Par 3,Par 3,Par 3,4 Dimmer 00,4,1.025,1,25,25,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
4,4,,,4,channel,4,channel:4,channel,4,Par 4,Par 4,Par 4,4 Dimmer 00,4,1.157,1,157,157,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
5,5,,,5,channel,5,channel:5,channel,5,Par 5,Par 5,Par 5,4 Dimmer 00,4,1.160,1,160,160,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
6,6,,,6,channel,6,channel:6,channel,6,Par 6,Par 6,Par 6,4 Dimmer 00,4,1.176,1,176,176,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
7,7,,,7,channel,7,channel:7,channel,7,Par 7,Par 7,Par 7,4 Dimmer 00,4,1.175,1,175,175,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
8,8,,,8,channel,8,channel:8,channel,8,Par 8,Par 8,Par 8,4 Dimmer 00,4,1.037,1,37,37,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
9,9,,,9,channel,9,channel:9,channel,9,Par 9,Par 9,Par 9,4 Dimmer 00,4,1.090,1,90,90,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
10,10,,,10,channel,10,channel:10,channel,10,Par 10,Par 10,Par 10,4 Dimmer 00,4,1.045,1,45,45,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
